code,company_name,market,feature,business_composition,industries,themes,business1,business2,business3,business_sales1,business_sales2,business_sales3,business_profit1,business_profit2,business_profit3,overseas
1301,極洋,東証プライム,水産品の貿易、加工、買い付け主力。すしネタに強み。加工食品は業務用が軸。海外加工比率高い,水産55(3)、生鮮22(5)、食品22(3)、物流サービス1(10)、他0(12)【海外】11 <25.3>,"漁業,関東",水産,水産,生鮮,食品,55,22,22,3,5,3,11
130A,Veritas In Silico,東証グロース,mRNA標的低分子創薬技術を製薬会社に提供。共同創薬研究などによる契約金収入が柱,創薬プラットフォーム100 <24.12>,,創薬,,,,,,,,,,
1332,ニッスイ,東証プライム,水産大手で加工・商事のほか日本・南米で養殖。国内外で食品事業展開。EPAなどファインも,水産41(2)、食品53(6)、ファイン2(5)、物流2(9)、他2(5)【海外】42 <25.3>,"加工食品,漁業,倉庫",水産,食品,水産,ファイン,53,41,2,6,2,5,42
1333,マルハニチロ,東証プライム,水産最大手。国内外に強固な流通網持つ。冷食・缶詰など加工食品も大手。畜産商事や化成品も,水産資源23(1)、食材流通58(2)、加工食品16(7)、他2(13) <25.3>,"加工食品,漁業,倉庫",水産,食材流通,水産資源,加工食品,58,23,16,2,1,7,
135A,VRAIN Solution,東証グロース,製造現場に設置するAI外観検査システムを開発・販売、製造業向けDXコンサルも手がける,AIシステム83、DXコンサルティング17 <25.2>,AI,AI,,,,,,,,,,
1375,ユキグニファクトリー,東証プライム,マイタケ軸にキノコ量産、蘭のマッシュルーム専業買収、素材生かす加工品育成、神明HD傘下,まいたけ54、エリンギ10、ぶなしめじ20、茸他15、他1 <25.3>,"農業,中部",人工肉,,,,,,,,,,
1376,カネコ種苗,東証スタンダード,野菜・牧草種子など種苗事業や農薬が収益柱。農業資材や花きも販売。利益は下期の比重高い,種苗15(8)、花き14(1)、農材49(5)、施設材22(2) <24.5>,"農業,関東",種苗,農材,施設材,種苗,49,22,15,5,2,8,
1377,サカタのタネ,東証プライム,野菜と花きの種苗で世界上位、米州やインド等成長市場に投資、国内は農業資材や造園緑化強化,国内卸売14(38)、海外卸売77(26)、小売6(-4)、他4(1)【海外】77 <24.5>,"農業,関東",インド,海外卸売,国内卸売,,77,14,,26,38,,77
1379,ホクト,東証プライム,ブナシメジ、エリンギなどキノコで食品スーパー等に全国展開。米国、台湾など海外は拡大へ,国内きのこ66(13)、海外きのこ9(15)、加工品10(5)、化成品15(3)【海外】10 <25.3>,"農業,中部",米国,国内きのこ,化成品,加工品,66,15,10,13,3,5,10
137A,Cocolive,東証グロース,不動産向け営業支援クラウドサービス『KASIKA』を自社開発。導入先は1000社超,クラウドサービス100 <24.5>,,営業支援,,,,,,,,,,
1380,秋川牧園,東証スタンダード,無農薬・無投薬の食肉、鶏卵、牛乳等を製造販売。主力の生協経由に加えて直販宅配を強化,生産卸売79(6)、直販21(2) <25.3>,"農業,中国四国",鶏肉・鶏卵,生産卸売,直販,,79,21,,6,2,,
1381,アクシーズ,東証スタンダード,鶏肉国内大手。ケンタッキー(KFC)と食肉卸向け柱。飼料製造から加工まで一貫。外食FCも,食品84(4)、外食14(9)、エネルギー2(69) <24.6>,"農業,畜産,九州沖縄",鶏肉・鶏卵,食品,外食,エネルギー,84,14,2,4,9,69,
1382,ホーブ,東証スタンダード,夏秋は自社品種、冬は仕入れたイチゴ果実を大手洋菓子メーカー等に販売。種馬鈴薯も手がける,いちご果実・青果89(7)、種苗2(50)、馬鈴薯3(1)、運送6(6) <24.6>,"農業,北海道東北",種苗,いちご果実・青果,運送,馬鈴薯,89,6,3,7,6,1,
1383,ベルグアース,東証スタンダード,接ぎ木したトマト、キュウリ、ナス等の苗を開発、生産販売。花き進出。閉鎖型施設や中韓開拓も,野菜苗・苗関連87(8)、農業・園芸用タネ資材販売12(1)、小売2(-11) <24.10>,"農業,中国四国",種苗,野菜苗・苗関連,農業・園芸用タネ資材販売,,87,12,,8,1,,
1384,ホクリヨウ,東証スタンダード,採卵養鶏場大手、北海道でシェア5割。雛からの一貫生産や直接販売に特徴、本州開拓を強化へ,鶏卵97、食品3、他0 <25.3>,"農業,畜産,北海道東北",鶏肉・鶏卵,,,,,,,,,,
138A,光フードサービス,東証グロース,立ち飲み居酒屋『焼きとん大黒』『魚椿』など中部地方地盤に展開。駅前立地、狭小店舗に特色,直営店売上95、業務委託店売上4、FC売上1、他1 <24.11>,外食（居酒）,FC,,,,,,,,,,
1401,エムビーエス,東証グロース,独自研磨法と特殊コーティング剤での外装リフォーム会社。直接施工と並行し契約工務店拡大,ホームメイキャップ92(18)、建築工事8(14)、他1(7) <24.5>,"不動産,リフォーム,中国四国",防災・減災,ホームメイキャップ,建築工事,,92,8,,18,14,,
1407,ウエストホールディングス,東証スタンダード,太陽光発電所の開発、建設、保守を展開、陸上風力も。蓄電所を柱に育成、タイで自家発電所も,再生可能エネルギー83(20)、省エネルギー3(24)、電力10(32)、メンテナンス4(32)、他0(100) <24.8>,"脱炭素,中国四国",ペロブスカイト,再生可能エネルギー,電力,メンテナンス,83,10,4,20,32,32,
1414,ショーボンドホールディングス,東証プライム,橋梁、道路などインフラ補修工事の専業。補修材料の開発・販売から施工まで一貫体制。好財務,国内建設95(23)、他5(13) <24.6>,"建設,防災,関東",政策保有株,国内建設,,,95,,,23,,,
1417,ミライト・ワン,東証プライム,通信工事大手。NTT向け主体。22年に大手ゼネコンの西武建設を買収。非通信領域を強化中,環境・社会イノベーション35、ICTソリューション25、NTT33、マルチキャリア7 <25.3>,"専門工事,建設,関東",データセンター,,,,,,,,,,
1418,インターライフホールディングス,東証スタンダード,遊技場・店舗内装工事が主力、音響システム・照明設備に強み。関西圏強化。配当性向40%以上,内装工事57(5)、音響・照明設備34(9)、設備・メンテナンス8(-1) <25.2>,"建設,関東",大阪・関西万博,内装工事,音響・照明設備,,57,34,,5,9,,
1419,タマホーム,東証プライム,ローコスト系の注文住宅会社。首都圏郊外や地方を中心に展開。分譲住宅やオフィス区分販売も,住宅75(4)、不動産22(6)、金融0(20)、エネルギー0(27)、他2(5) <24.5>,"戸建て,関東",注文住宅,住宅,不動産,金融,75,22,0,4,6,20,
141A,トライアルホールディングス,東証グロース,九州地盤。郊外大型ディスカウント店が主力。自社IT活用で効率追求。25年7月、西友買収へ,流通小売100(3)、リテールAI0(-11)、他0(0) <24.6>,"スーパー,ディスカウント,九州沖縄",総菜,流通小売,,,100,,,3,,,
1420,サンヨーホームズ,東証スタンダード,戸建て住宅、マンション、賃貸・福祉住宅の設計・販売が主。近畿中心に首都圏、中部等で展開,住宅44(0)、マンション45(8)、他11(1) <25.3>,"戸建て,マンション,近畿",リフォーム・リノベーション,マンション,住宅,,45,44,,8,0,,
